('193.192.58.163', '17/May/2015:11:05:31 +0000', 'GET', '/downloads/product_2', '304', '0')
('54.86.157.236', '17/May/2015:11:05:22 +0000', 'GET', '/downloads/product_1', '404', '333')
('144.76.151.58', '17/May/2015:11:05:16 +0000', 'GET', '/downloads/product_2', '404', '338')
('195.154.77.170', '17/May/2015:11:05:20 +0000', 'GET', '/downloads/product_2', '404', '339')
('91.234.194.89', '17/May/2015:11:05:29 +0000', 'GET', '/downloads/product_2', '404', '336')
('188.138.60.101', '17/May/2015:11:05:38 +0000', 'GET', '/downloads/product_2', '404', '339')
('46.4.88.134', '17/May/2015:11:05:51 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:11:05:05 +0000', 'GET', '/downloads/product_1', '404', '339')
('152.90.220.17', '17/May/2015:11:05:08 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:21 +0000', 'GET', '/downloads/product_1', '404', '336')
('54.72.39.202', '17/May/2015:11:05:19 +0000', 'GET', '/downloads/product_2', '200', '951')
('37.187.238.39', '17/May/2015:11:05:25 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:47 +0000', 'GET', '/downloads/product_1', '404', '340')
('200.6.73.40', '17/May/2015:11:05:19 +0000', 'GET', '/downloads/product_1', '404', '336')
('91.121.161.213', '17/May/2015:11:05:08 +0000', 'GET', '/downloads/product_2', '404', '336')
('50.57.209.92', '17/May/2015:11:05:39 +0000', 'GET', '/downloads/product_2', '404', '339')
('144.92.16.161', '17/May/2015:11:05:44 +0000', 'GET', '/downloads/product_1', '304', '0')
('94.23.21.169', '17/May/2015:11:05:56 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:11:05:40 +0000', 'GET', '/downloads/product_1', '404', '337')
('202.143.95.26', '17/May/2015:11:05:44 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:51 +0000', 'GET', '/downloads/product_1', '404', '337')
('80.91.33.133', '17/May/2015:11:05:13 +0000', 'GET', '/downloads/product_1', '404', '338')
('144.76.160.62', '17/May/2015:11:05:06 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:00 +0000', 'GET', '/downloads/product_1', '404', '340')
('193.192.58.163', '17/May/2015:11:05:54 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.70.214.71', '17/May/2015:11:05:59 +0000', 'HEAD', '/downloads/product_2', '200', '0')
('80.91.33.133', '17/May/2015:11:05:51 +0000', 'GET', '/downloads/product_1', '404', '337')
('195.154.77.170', '17/May/2015:11:05:28 +0000', 'GET', '/downloads/product_2', '404', '336')
('144.76.117.56', '17/May/2015:11:05:49 +0000', 'GET', '/downloads/product_1', '404', '340')
('144.76.137.134', '17/May/2015:11:05:07 +0000', 'GET', '/downloads/product_1', '304', '0')
('54.172.198.124', '17/May/2015:11:05:43 +0000', 'GET', '/downloads/product_2', '200', '2582')
('178.32.54.253', '17/May/2015:11:05:03 +0000', 'GET', '/downloads/product_1', '304', '0')
('62.75.167.106', '17/May/2015:11:05:26 +0000', 'GET', '/downloads/product_2', '404', '336')
('91.234.194.89', '17/May/2015:11:05:48 +0000', 'GET', '/downloads/product_2', '404', '341')
('91.194.188.90', '17/May/2015:11:05:42 +0000', 'GET', '/downloads/product_2', '404', '340')
('144.76.151.58', '17/May/2015:11:05:45 +0000', 'GET', '/downloads/product_2', '404', '336')
('85.214.47.178', '17/May/2015:11:05:19 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:31 +0000', 'GET', '/downloads/product_1', '404', '336')
('91.121.161.213', '17/May/2015:11:05:03 +0000', 'GET', '/downloads/product_2', '404', '338')
('54.64.16.235', '17/May/2015:11:05:43 +0000', 'GET', '/downloads/product_2', '404', '324')
('80.91.33.133', '17/May/2015:11:05:09 +0000', 'GET', '/downloads/product_1', '404', '338')
('91.239.186.133', '17/May/2015:11:05:17 +0000', 'GET', '/downloads/product_2', '404', '339')
('62.210.138.59', '17/May/2015:11:05:29 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:12 +0000', 'GET', '/downloads/product_1', '404', '337')
('87.233.156.242', '17/May/2015:11:05:02 +0000', 'GET', '/downloads/product_2', '404', '336')
('80.91.33.133', '17/May/2015:11:05:05 +0000', 'GET', '/downloads/product_1', '404', '341')
('195.154.233.202', '17/May/2015:11:05:55 +0000', 'GET', '/downloads/product_2', '304', '0')
('193.192.58.163', '17/May/2015:11:05:58 +0000', 'GET', '/downloads/product_2', '304', '0')
('144.76.160.62', '17/May/2015:11:05:20 +0000', 'GET', '/downloads/product_2', '404', '340')
('62.75.198.179', '17/May/2015:11:05:19 +0000', 'GET', '/downloads/product_2', '404', '338')
('195.154.77.170', '17/May/2015:11:05:35 +0000', 'GET', '/downloads/product_2', '404', '341')
('200.6.73.40', '17/May/2015:11:05:26 +0000', 'GET', '/downloads/product_1', '404', '341')
('80.91.33.133', '17/May/2015:11:05:53 +0000', 'GET', '/downloads/product_1', '404', '339')
('80.91.33.133', '17/May/2015:11:05:17 +0000', 'GET', '/downloads/product_1', '404', '337')
('80.91.33.133', '17/May/2015:11:05:23 +0000', 'GET', '/downloads/product_1', '404', '339')
('80.70.214.71', '17/May/2015:11:05:16 +0000', 'GET', '/downloads/product_2', '404', '339')
('94.23.21.169', '17/May/2015:11:05:21 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:11:05:11 +0000', 'GET', '/downloads/product_1', '404', '339')
('62.75.198.180', '17/May/2015:11:05:39 +0000', 'GET', '/downloads/product_2', '404', '339')
('31.22.86.126', '17/May/2015:12:05:15 +0000', 'GET', '/downloads/product_1', '404', '331')
('144.92.16.161', '17/May/2015:12:05:32 +0000', 'GET', '/downloads/product_1', '404', '324')
('5.83.131.103', '17/May/2015:12:05:26 +0000', 'GET', '/downloads/product_1', '304', '0')
('62.75.167.106', '17/May/2015:12:05:01 +0000', 'GET', '/downloads/product_2', '404', '341')
('91.121.161.213', '17/May/2015:12:05:00 +0000', 'GET', '/downloads/product_2', '404', '341')
('37.187.238.39', '17/May/2015:12:05:29 +0000', 'GET', '/downloads/product_2', '404', '340')
('87.233.156.242', '17/May/2015:12:05:34 +0000', 'GET', '/downloads/product_2', '404', '333')
('144.76.151.58', '17/May/2015:12:05:25 +0000', 'GET', '/downloads/product_2', '404', '333')
('80.91.33.133', '17/May/2015:12:05:05 +0000', 'GET', '/downloads/product_1', '404', '336')
('80.91.33.133', '17/May/2015:12:05:31 +0000', 'GET', '/downloads/product_1', '404', '341')
('80.91.33.133', '17/May/2015:12:05:54 +0000', 'GET', '/downloads/product_1', '404', '339')
('195.154.77.170', '17/May/2015:12:05:05 +0000', 'GET', '/downloads/product_2', '404', '338')
('195.154.233.202', '17/May/2015:12:05:29 +0000', 'GET', '/downloads/product_2', '404', '340')
('193.192.58.163', '17/May/2015:12:05:39 +0000', 'GET', '/downloads/product_2', '404', '340')
('50.57.209.92', '17/May/2015:12:05:37 +0000', 'GET', '/downloads/product_2', '404', '333')
('93.190.71.150', '17/May/2015:12:05:40 +0000', 'GET', '/downloads/product_2', '404', '338')
('91.120.61.154', '17/May/2015:12:05:17 +0000', 'GET', '/downloads/product_1', '304', '0')
('144.76.137.134', '17/May/2015:12:05:11 +0000', 'GET', '/downloads/product_1', '304', '0')
('92.50.100.22', '17/May/2015:12:05:50 +0000', 'GET', '/downloads/product_2', '304', '0')
('195.210.47.239', '17/May/2015:12:05:15 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:12:05:04 +0000', 'GET', '/downloads/product_1', '404', '339')
('80.91.33.133', '17/May/2015:12:05:51 +0000', 'GET', '/downloads/product_1', '404', '339')
('85.214.47.178', '17/May/2015:12:05:31 +0000', 'GET', '/downloads/product_2', '404', '340')
('54.64.16.235', '17/May/2015:12:05:08 +0000', 'GET', '/downloads/product_2', '404', '337')
('50.57.209.92', '17/May/2015:12:05:46 +0000', 'GET', '/downloads/product_1', '404', '331')
('144.76.117.56', '17/May/2015:12:05:54 +0000', 'GET', '/downloads/product_1', '404', '339')
('91.239.186.133', '17/May/2015:12:05:14 +0000', 'GET', '/downloads/product_2', '404', '336')
('144.92.16.161', '17/May/2015:12:05:57 +0000', 'GET', '/downloads/product_1', '404', '337')
('91.121.161.213', '17/May/2015:12:05:14 +0000', 'GET', '/downloads/product_2', '404', '338')
('84.53.65.28', '17/May/2015:12:05:31 +0000', 'GET', '/downloads/product_2', '404', '339')
('62.210.138.59', '17/May/2015:12:05:38 +0000', 'GET', '/downloads/product_2', '404', '337')
('62.75.167.106', '17/May/2015:12:05:46 +0000', 'GET', '/downloads/product_2', '404', '338')
('31.22.86.126', '17/May/2015:12:05:42 +0000', 'GET', '/downloads/product_1', '404', '336')
('195.154.77.170', '17/May/2015:12:05:24 +0000', 'GET', '/downloads/product_2', '404', '339')
('198.61.216.151', '17/May/2015:12:05:18 +0000', 'GET', '/downloads/product_2', '304', '0')
('195.154.233.202', '17/May/2015:12:05:46 +0000', 'GET', '/downloads/product_2', '404', '337')
('198.61.216.151', '17/May/2015:12:05:00 +0000', 'GET', '/downloads/product_2', '404', '324')
('193.192.58.163', '17/May/2015:12:05:00 +0000', 'GET', '/downloads/product_2', '404', '337')
('80.91.33.133', '17/May/2015:12:05:38 +0000', 'GET', '/downloads/product_1', '404', '338')
('80.91.33.133', '17/May/2015:12:05:02 +0000', 'GET', '/downloads/product_1', '404', '341')
('91.194.188.90', '17/May/2015:12:05:47 +0000', 'GET', '/downloads/product_2', '404', '335')
('93.190.71.150', '17/May/2015:12:05:56 +0000', 'GET', '/downloads/product_2', '404', '341')
('62.75.198.179', '17/May/2015:12:05:46 +0000', 'GET', '/downloads/product_2', '404', '339')
('93.64.134.186', '17/May/2015:12:05:27 +0000', 'GET', '/downloads/product_2', '404', '341')
('144.92.16.161', '17/May/2015:12:05:10 +0000', 'GET', '/downloads/product_1', '404', '336')
('202.143.95.26', '17/May/2015:12:05:36 +0000', 'GET', '/downloads/product_2', '404', '337')
('80.91.33.133', '17/May/2015:12:05:52 +0000', 'GET', '/downloads/product_1', '404', '336')
